Number of iterations,Estimated Volume,Error percentage
20,19807.19437970254,356.38696727425213
20,17816.429195902474,310.5168017489049
20,19239.188642237223,343.29927747090375
20,18679.762752714232,330.40928001645693
20,20662.625227612858,376.09735547495063
20,20398.881693135594,370.0203155100367
20,17100.779339066885,294.02717371121855
20,17157.768137999905,295.3402796774172
20,19296.084257675375,344.61023635196716
20,18334.319482286188,322.4497576563638
20,18499.749445689416,326.2615079651939
20,19769.323085844346,355.51435681669
20,18961.064217000905,336.8908805760577
20,17261.70520222677,297.73514290845094
20,19735.79608305672,354.7418452317217
20,19339.581085851638,345.61246741593635
20,18767.32242413469,332.4267839662371
20,18272.09596784287,321.01603612541174
20,18036.14329331152,315.579338555565
20,15642.94564768443,260.43653566093155
20,17850.594331170698,311.3040168472511
100000,18028.16897456751,315.39559849233893
